chrom	amplicon_beg	amplicon_end
10	106074714	106074860
10	126631538	126631694
10	133058557	133058730
10	14909092	14909259
10	76735386	76735537
10	76735386	76735537
10	76790362	76790524
1	103352525	103352669
1	113062900	113063066
11	3846171	3846339
11	3846249	3846421
1	146765986	146766179
1	151740596	151740756
1	155264937	155265102
1	156778919	156779081
1	161176125	161176288
1	166958560	166958713
11	70269044	70269215
11	721559	721756
11	82878433	82878584
11	82878506	82878679
11	85374538	85374705
1	186278190	186278361
1	186648268	186648434
1	196392078	196392248
1	209948626	209948787
12	104496685	104496841
12	123343282	123343449
1	225533996	225534174
1	229385435	229385607
1	230822674	230822836
1	23381508	23381680
1	237814699	237814866
1	249211658	249211821
12	49522128	49522300
12	5020743	5020891
12	54403363	54403520
12	54422324	54422494
12	54422324	54422494
12	54422324	54422494
12	54427065	54427212
12	56553301	56553458
12	69107405	69107559
12	72004385	72004538
1	27673962	27674132
13	108518810	108518953
13	113210410	113210599
13	84455178	84455329
13	84455240	84455396
13	84455240	84455396
13	84455427	84455597
13	84455427	84455597
13	84455459	84455557
14	23898197	23898364
14	24676490	24676635
14	26917243	26917388
14	26917457	26917603
14	26917518	26917682
14	26917729	26917893
14	26917729	26917893
14	26917776	26917922
14	26917776	26917922
14	26918019	26918162
14	29237457	29237603
14	29237539	29237699
14	29237539	29237699
14	29237582	29237702
14	29237724	29237886
14	29237866	29237915
14	32562755	32562901
14	38060726	38060875
14	45369868	45370014
14	52781525	52781682
14	53619382	53619555
14	68251796	68251950
1	46879071	46879235
14	75266193	75266359
14	77809434	77809589
14	80327696	80327843
14	80327908	80328081
14	93760510	93760674
14	93760510	93760674
15	53081439	53081589
15	53081439	53081589
15	67665665	67665824
15	67665665	67665824
15	73889571	73889714
15	80429831	80430002
15	81214250	81214414
16	28892178	28892328
16	31235984	31236129
16	31447352	31447516
16	61687760	61687910
16	61687760	61687910
16	69744863	69745034
16	72993036	72993182
16	72993036	72993182
16	72993036	72993182
16	72993273	72993436
16	9210522	9210688
17	10101568	10101740
17	27086206	27086369
17	27086206	27086369
17	27086266	27086354
17	27086553	27086709
17	27086553	27086709
17	38935744	38935895
17	47886467	47886632
1	75112395	75112568
17	54559682	54559852
17	62496664	62496812
17	72832201	72832349
18	42532025	42532168
18	42532025	42532168
18	6975889	6976061
18	7013751	7013912
1	90473223	90473385
19	22937097	22937276
19	37210016	37210189
19	49464758	49464923
19	50100057	50100219
19	50393340	50393494
19	56565082	56565253
19	9085760	9085927
2	113147003	113147172
21	34922857	34923017
21	34923161	34923326
21	34923161	34923326
21	34923161	34923326
21	34929416	34929575
2	160798250	160798398
2	209179008	209179152
2	210752759	210752915
22	20073722	20073881
22	21975806	21975958
22	21975806	21975958
22	40661865	40662036
2	242009276	242009425
22	50181048	50181191
22	50181361	50181524
2	26951096	26951243
2	44132764	44132936
2	60687860	60688031
2	60687868	60688013
2	60688910	60689081
2	61441738	61441911
3	164764630	164764775
3	172472333	172472482
3	183906120	183906268
3	33087568	33087733
3	43388828	43388988
3	9475987	9476133
3	9476050	9476127
3	9517674	9517831
4	36069455	36069603
4	41750392	41750537
4	41750392	41750537
4	83905310	83905475
4	83905310	83905475
4	941487	941652
5	141353068	141353241
5	177562172	177562345
5	178359290	178359439
5	61643854	61644024
5	88018487	88018651
6	160864596	160864764
6	161085109	161085282
6	168708876	168709047
6	33647618	33647786
6	56468834	56468985
6	56495948	56496112
6	69653680	69653852
7	102313342	102313513
7	149129914	149130087
7	154760248	154760415
7	19184443	19184591
7	27168942	27169101
7	27168942	27169101
8	10466497	10466656
8	32621480	32621652
8	67547009	67547169
8	67547314	67547458
8	71593372	71593522
8	77616852	77616999
8	99962905	99963063
9	125424206	125424365
9	16727871	16728043
9	37422702	37422845
9	74687492	74687655
9	90321238	90321408
X	23411817	23411975
X	23411817	23411975
X	44929002	44929146
X	44929343	44929513
X	53106053	53106225
X	53106202	53106355
X	53106491	53106655
X	53588777	53588947
